Nome;CNPJ;Razao;Rede;Cluster;Estado;Cidade;Bairro;Endereco;Numero;Complemento;Pontos
Prosperus Comercio E Serviços - Boulevard Shopping Feira de Santana - KIOSQUE;1,77E+13;Boulevard Shopping Feira de Santana;Prosperus Comercio E Serviços;C;BA;Feira de Santana;Caseb;Av. João Durval Carneiro, 3655 - Caseb, Feira de Santana - BA, 44052-064; -; -; -
Prosperus Comercio E Serviços - Shopping Itaguari - KIOSQUE;1,77E+13;Shopping Itaguari;Prosperus Comercio E Serviços;C;BA;Santo Antônio de Jesus;Centro;Av. Governador Roberto Santos, 96 - lj. 117; -; -; -
Prosperus Comercio E Serviços - Shopping Mestre Alvaro - KIOSQUE;1,77E+13;Shopping Mestre Alvaro;Prosperus Comercio E Serviços;C;ES;Serra;Eurico Salles ;"Av Joao Palacio S/N, 300 - Loja: Q106A; Cep: 29160-925 -Eurico Salles - Serra - Es"; -; -; -
Prosperus Comercio E Serviços - Shopping Moxuara - LOJA;1,77E+13;Shopping Moxuara;Prosperus Comercio E Serviços;C;ES;Cariacica;São Francisco;"Rod Br-262 6555, 6555 Km: 5; Loja: 306 A/B; : Piso L-3; : Shopping Moxara; "; -; -; -
Prosperus Comercio E Serviços - Shopping Praia da Costa - KIOSQUE;1,77E+13;Shopping Praia da Costa;Prosperus Comercio E Serviços;C;ES;Vila Velha;Praia Da Costa ;"Av Doutor Olivio Lira 353 Loja: Q107A; Cep: 29101-260 - Praia Da Costa - Vila Velha -  Es"; -; -; -
Prosperus Comercio E Serviços - Shopping Rio Sul - KIOSQUE;1,77E+13;Shopping Rio Sul;Prosperus Comercio E Serviços;C;RJ;Rio de Janeiro;Botafogo ;Rua Lauro Sodré, 445 - LOJA 101 QAQ17 - Botafogo Rj Cep 22290-070; -; -; -
Prosperus Comercio E Serviços - Shopping Rio Sul - LOJA;1,77E+13;Shopping Avenida Center;Jufap Administracao E Participacao;B;RJ;Rio de Janeiro;Botafogo ;Rua Lauro Sodré, 445 - LOJA: 301 PARTE C-34 3AND - Botafogo Rj Cep 22290-070; -; -; -
Prosperus Comercio E Serviços - Shopping Vila Velha - KIOSQUE;1,77E+13;Shopping Vila Velha;Prosperus Comercio E Serviços;C;ES;Vila Velha;Divino Espirito Santo;R. Luciano das Neves 2418 - Quiosque 1009 Piso 01; -; -; -
Prosperus Comercio E Serviços - Shopping Vitoria - LOJA;1,77E+13;Shopping Vitoria;Prosperus Comercio E Serviços;A;ES;Vitória;Enseada Do Sua ;Av. Américo Buaiz, 200 Loja 604 - Enseada Do Suá Vitória - Espírito Santo Cep: 29050-902    ; -; -; -
Prosperus Comercio E Serviços - Shopping Vitoria Kiosk - KIOSQUE;1,77E+13;Shopping Vitoria Kiosk;Prosperus Comercio E Serviços;C;ES;Vitória;Enseada Do Sua ;Av Americo Buaiz 200 Loja: S103 Enseada Do Sua ? Municipio De Vitoria ; -; -; -
