"Nome","CNPJ","Razao","Rede","Cluster","Estado","Cidade","Bairro","Endereco","Numero","Complemento","Pontos",,,,,,,
"Allied Advanced Technologies S.A - Shopping Metro Santa Cruz - LOJA",2,20000000000000,"Shopping Metro Santa Cruz","Allied Advanced Technologies S.A","A","SP","S�o Paulo","Vila Mariana","R Domingos De Moraes"," 2564  - Lojas Uso Comercial N L7/T - Cep: 04036-100 - Vila Mariana - S�o Paulo (Sp)"," -"," -"," -",,,,,
"Allied Advanced Technologies S.A - Shopping Morumbi - LOJA",2,20000000000000,"Shopping Morumbi","Allied Advanced Technologies S.A","A","SP","S�o Paulo","Jardim Das Acacias ","Av Roque Petroni Junior"," 1089 - Loja Uso Comercial N 16 Ll - Cep: 04707-900 - Brooklin - Sao Paulo (Sp)"," -"," -"," -",,,,,
"Allied Advanced Technologies S.A - Shopping Niteroi - LOJA",2,20000000000000,"Shopping Niteroi","Allied Advanced Technologies S.A","A","RJ","Niter�i","Centro ","R Xv De Novembro"," 08 Loja 166 Loja 167 Cep: 24020-125 Centro - Niter�i"," -"," -"," -",,,,,
"Allied Advanced Technologies S.A - Shopping Nova America - LOJA",2,20000000000000,"Shopping Nova America","Allied Advanced Technologies S.A","A","RJ","Rio de Janeiro","Del Castilho ","Av Pastor Martin Luther King Junior 
 126, ( Luc ) 1427 Shop Nova America, Bairo Del Castilho - Rio De Janeiro/Rj (20765-000)"," -"," -"," -",,,,,,
"Allied Advanced Technologies S.A - Shopping P�tio Ciane - KIOSQUE",2,20000000000000,"Shopping P�tio Ciane","Allied Advanced Technologies S.A","C","SP ","Sorocaba","Centro ","Av Afonso Vergueiro"," 823 - Quiosque 29 "," -"," -"," -",,,,,
"Allied Advanced Technologies S.A - Shopping Piracicaba - LOJA",2,20000000000000,"Shopping Piracicaba","Allied Advanced Technologies S.A","B","SP","Piracicaba","Vila Rezende ","Av. Limeira"," 722 Lojas S� Comercial N108A E 109 Cep 13414-018 Bairro Vila Rezende "," -"," -"," -",,,,,
"Allied Advanced Technologies S.A - Shopping Plaza Avenida - LOJA",2,20000000000000,"Shopping Plaza Avenida","Allied Advanced Technologies S.A","B","SP","S�o Jos� do Rio Preto","Nova Redentora ","Av Jose Munia","4775 - Loja Uso Comercial 230 Cep: 15085-350 - Nova Redentora - Sao Jose Do Rio Preto (Sp)"," -"," -"," -",,,,,
"Allied Advanced Technologies S.A - Shopping Tambore - LOJA",2,20000000000000,"Shopping Tambore","Allied Advanced Technologies S.A","B","SP","Barueri","Tambore ","Av Piracema "," 669 Andar Terreo Loja 481 - Cep: 06460-030 -  Pavlh Shopping Tambore - Barueri (Sp)"," -"," -"," -",,,,,
"Allied Advanced Technologies S.A - Shopping Vila Olimpia - LOJA",2,20000000000000,"Shopping Vila Olimpia","Allied Advanced Technologies S.A","A","SP","S�o Paulo","Vila Olimpia ","R Das Olimpiadas"," 360 - Lojas Uso Comercial N 110 E 111 - Cep: 04551-000 - Vila Olimpia - S�o Paulo (Sp)"," -"," -"," -",,,,,
"Allied Advanced Technologies S.A - Shopping West Plaza - LOJA",2,20000000000000,"Shopping West Plaza","Allied Advanced Technologies S.A","C","SP","S�o Paulo","Agua Branca ","Av Francisco Matarazzo"," S/N - Anexo Arco 1104 Terreo Bloco A Setor Shopping West Plaza - Cep: 05003-900 - Agua Branca - S�o Paulo"," -"," -"," -",,,,,
"Allied Advanced Technologies S.A - Tijuca Shopping - LOJA",2,20000000000000,"Tijuca Shopping","Allied Advanced Technologies S.A","A","RJ","Rio de Janeiro","Tijuca ","Av Maracana"," 987 - Loja 17 E 18 - Cep: 20511-000 - Tijuca - Rio De Janeiro (Rj)"," -"," -"," -",,,,,
"Allied Advanced Technologies S.A - Top Shopping Nova Igua�u - LOJA",2,20000000000000,"Top Shopping Nova Igua�u","Allied Advanced Technologies S.A","B","RJ","Nova Igua�u","Centro ","AV GOVERNADOR ROBERTO SILVEIRA"," 540 - Piso 1 (loja 134/135)"," -"," -"," -",,,,,
"Allied Advanced Technologies S.A - Vale Sul Shopping - LOJA",2,20000000000000,"Vale Sul Shopping","Allied Advanced Technologies S.A","B","SP","S�o Jos� dos Campos","Jardim Satelite ","Av. Andr�meda",227," Suc 206/207"," Jardim Sat�lite Cep 12230-002"," -"," -"," -",,,
"Allied Advanced Technologies S.A - Via Brasil Shopping - LOJA",2,20000000000000,"Via Brasil Shopping","Allied Advanced Technologies S.A","C","RJ","Rio de Janeiro","Iraja ","R Itapera"," 500 -(Luc) - 382 / 383 - Iraja"," Rio De Janeiro - Rj"," -"," -"," -",,,,
"Allied Advanced Technologies S.A - West Shopping Rio de Janeiro - LOJA",2,20000000000000,"West Shopping Rio de Janeiro","Allied Advanced Technologies S.A","B","RJ","Rio de Janeiro","Campo Grande","Est Do Mendanha"," 555 Loja 182 E 183 Campo Grande Rio De Janeiro Rj"," -"," -"," -",,,,,
"Aquilon Telecomunica��es Ltda - Catuai Shopping - LOJA",8,120000000000000,"Catuai Shopping","Aquilon Telecomunica��es Ltda","A","PR","Londrina","Gleba Fazenda Palhano ","Rodovia Celso Garcia Cid"," Km.377 � Loja 82/83 � Gleba Palhano � Londrina � Pr � Cep: 86050-901 "," -"," -"," -",,,,,
