Nome,CNPJ,Razao,REDE,Cluster,Estado,Cidade,Bairro,Endereco,Numero,Complemento,Pontos
Infostore Computadores Da Amazonia Ltda - Shopping Ponta Negra - LOJA,2337524001099,Shopping Ponta Negra,NEOR-009,C,AM,Manaus,Ponta Negra ,"Av Cel Teixeira, 5705 - Loja 68 1 Piso Shopping Ponta Negra - Cep: 69037-000 - Ponta Negra - Manaus (Am)",,,
Infostore Computadores Da Amazonia Ltda - Sumauma Park Shopping  - LOJA,2337524002222,Sumauma Park Shopping ,NEOR-009,C,AM,Manaus,Cidade Nova ,"Av. Noel Nutel  Nº 1762 PISO ARARA, LOJAS 2077,2078). ",,,
Infostore Computadores Da Amazonia Ltda - Via Verde Shopping - LOJA,2337524001684,Via Verde Shopping,NEOR-009,B,AC,Rio Branco,Floresta Sul ,"Est Da Floresta, 2320 - Loja 20/21/22 1 Piso Do Via Verde Shopping- Cep: 69912-900 - Floresta Sul- Rio Branco (Ac)",,,
Jufap Administracao E Participacao - Boulevard Londrina  - KIOSQUE,81214819002016,Boulevard Londrina ,NEOR-010,C,PR,Londrina,Helena ,"Av. Theodoro Victorelli, 150 - Quiosque MIK-714",,,
Jufap Administracao E Participacao - Maringá Park Shopping - KIOSQUE,81214819001982,Maringá Park Shopping,NEOR-010,C,PR,Maringá,Helena ,"Av. São Paulo, 1099 – Quiosque Q130 – 1º Piso",,,
Jufap Administracao E Participacao - Park Shopping Barigui - KIOSQUE,81214819001630,Park Shopping Barigui,NEOR-002,B,PR,Curitiba,Mossungue ,"Rua: Pedro Viriato Parigot De Sousa, 600 - Cep 81200-100 - Loja Luc 275 - Mossungue  - Curitiba (Pr)",,,
Jufap Administracao E Participacao - Shopping Avenida Center - KIOSQUE,81214819001478,Shopping Avenida Center,NEOR-010,C,PR,Maringá,Centro,"Av. São Paulo, 763 - Q-002 1 piso Maringa Bairro zona 09",,,
Jufap Administracao E Participacao - Shopping Center São Jose - KIOSQUE,81214819001397,Shopping Center São Jose,NEOR-010,C,PR,São José dos Pinhais,Centro,"R Izabel A Redentora, 1434 Quiosque Q-103 Shopping Sao Jose ",,,
Jufap Administracao E Participacao - Shopping Palladium - KIOSQUE,81214819001206,Shopping Palladium,NEOR-010,B,PR,Curitiba,Portao ,"Av. Presidente Kennedy, 4121 - Loja Q-118 Shop Palladium - Cep: 80610-905 - Portão - Curitiba",,,
Kadri Comercio De Eletronicos Ltda - Goiabeiras Shopping - LOJA,1030685001153,Goiabeiras Shopping,NEOR-011,C,MT,Cuiabá,Duque De Caxias ,"Av General Neves, 121 - Loja 177 Shopping Center Goiabeiras - Cep: 78043-256 Duque De Caxias - Cuiabá Mt",,,
Kadri Comercio De Eletronicos Ltda - Goiabeiras Shopping Kiosk - KIOSQUE,1030685001900,Goiabeiras Shopping,NEOR-011,C,MT,Cuiabá,Duque De Caxias ,"Av General Neves, 121 - Loja 177 Shopping Center Goiabeiras - Cep: 78043-256 Duque De Caxias - Cuiabá Mt",,,
Kadri Comercio De Eletronicos Ltda - Rondon Plaza Shopping - LOJA,1030685002397,Rondon Plaza Shopping,NEOR-011,C,MT,Rondonópolis,Parque Sagrada Familia ,"Av Rotary Internacional, 1950 - Edif Rondon Plaza Shoppinsala Loja 208/09-A - Cep 78735-219 -N Parque Sagrada Familia - Rondonopolis - Mt",,,
Kadri Comercio De Eletronicos Ltda - Shopping 3 Americas - KIOSQUE,1030685001234,Shopping 3 Americas,NEOR-011,C,MT,Cuiabá,Jardim Das Americas,"Av Brasilia, 146 - Qp-02 1 Piso Bloco B Shopping Tres Americas - Cep: 78060-601 - Jardim Das Americas - Cuiaba (Mt)",,,
Kadri Comercio De Eletronicos Ltda - Shopping Pantanal - LOJA,1030685000696,Shopping Pantanal,NEOR-011,A,MT,Cuiabá,Bosque Da Saude ,"Av. Historiador Rubens De Mendonca, 3300 Complemento Sala 2026 E 2027. Cep 78050-000  Bairro Distrito Bosque Da Saude ",,,
Kadri Comercio De Eletronicos Ltda - Shopping Pantanal Kiosk - KIOSQUE,1030685001315,Shopping Pantanal Kiosk,NEOR-011,C,MT,Cuiabá,Bosque Da Saude ,"Av. Historiador Rubens De Mendonça, 3300. Quiosque 320 Shopping Pantanal. Cep 78050-000  Bairro Distrito Bosque Da Saude ",,,
Kadri Comercio De Eletronicos Ltda - Shopping Pantanal Kiosk 2 - KIOSQUE,1030685001820,Shopping Pantanal Kiosk 2,NEOR-011,C,MT,Cuiabá,Bosque Da Saude ,"Av. Historiador Rubens De Mendonca, 3300 Complemento QUIOSQUE Q-103A PISO 1. Cep 78050-000  Bairro Distrito Bosque Da Saude ",,,
Kadri Comercio De Eletronicos Ltda - Shopping Varzea Grande - LOJA,1030685002206,Shopping Varzea Grande,NEOR-011,C,MT,Varzea Grande,Centro Sul,"Rua Filinto Muller S/N, Lote 01 a 15 Quadra 02 Lj 208",,,
Mastercell Com De Eletronicos Ltda - Balneario Camboriu Shopping - LOJA,2455036001752,Balneario Camboriu Shopping,NEOR-012,A,SC,Camboriu,Dos Estados ,"Av. Santa Catarina, 01 Sala 01 L150 Bairro Dos Estados Cep 88.339-005 Balneário Camburiu",,,
Mastercell Com De Eletronicos Ltda - Continente Park Shopping - LOJA,2455036001590,Continente Park Shopping,NEOR-012,B,SC,São José,Distrito Industrial ,Rod Br 101 - Sn - Km 211 Sala L104 - Cep: 88104-800 - Distrito Industrial - São José (Sc),,,
Mastercell Com De Eletronicos Ltda - Farol Shopping - LOJA,2455036003291,Farol Shopping,NEOR-012,C,SC,Tubarao,Aeroporto ,"Av Marcolino Martins Cabral, 2525- LOJA SUC 10 - Farol Shopping",,,
